Partida Aduanera,Descripcion de la Partida Aduanera,Fecha,Qty,Und,U$ FAS Tot,U$ Flete & Seguro Tot,U$ CIF Tot,U$ FAS Und,U$ CIF Und,U$ (CIF + Imp) Und,Impuestos (%),Pais de Origen,Distrito de Descarga
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2020,375.000,KG,7500.000,900.000,8400.000,20.000,22.400,22.400,0.000,PERU,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/04/2020,720.000,KG,15578.000,5268.000,20846.000,21.636,28.952,28.952,0.000,INDONESIA,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2020,575.000,KG,2875.000,2380.000,5255.000,5.000,9.139,9.139,0.000,DOMINICAN REPUBLIC,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2020,575.000,KG,2875.000,350.000,3225.000,5.000,5.608,5.608,0.000,DOMINICAN REPUBLIC,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2020,542.000,KG,2710.000,250.000,2960.000,5.000,5.461,5.461,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/09/2020,39112.000,KG,412947.000,1.000,412948.000,10.558,10.558,10.558,0.000,MEXICO,SAN DIEGO CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/09/2020,515.000,KG,2575.000,2500.000,5075.000,5.000,9.854,9.854,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/12/2020,708.000,KG,42457.000,1200.000,43657.000,59.967,61.662,61.662,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/12/2020,452.000,KG,38438.000,429.000,38867.000,85.039,85.988,85.988,0.000,MEXICO,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2021,1300.000,KG,70038.000,6500.000,76538.000,53.875,58.875,58.875,0.000,INDONESIA,LOS ANGELES CALIF.
